,,,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report
2025-08-10,Sun,FA Community Shield,FA Community Shield,Neutral,D 2 (2)–2 (3),Liverpool,Crystal Palace,N,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Match Report
2025-08-15,Fri,Premier League,Matchweek 1,Home,W 4–2,Liverpool,Bournemouth,N,,31,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,Match Report
2025-08-25,Mon,Premier League,Matchweek 2,Away,W 3–2,Liverpool,Newcastle,N,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Match Report
2025-08-31,Sun,Premier League,Matchweek 3,Home,W 1–0,Liverpool,Arsenal,N,,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,Match Report
2025-09-06,Sat,Friendlies (M),Friendlies (M),Neutral,D 0–0,jp Japan,mx Mexico,Y*,DM,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2025-09-23,Tue,EFL Cup,Third round,Home,W 2–1,Liverpool,Southampton,Y,DM,90,0,0,0,0,0,0,0,0,1,6,0,0,2,2,0,,,Match Report
2025-10-04,Sat,Premier League,Matchweek 7,Away,L 1–2,Liverpool,Chelsea,N,,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-29,Wed,EFL Cup,Fourth round,Home,L 0–3,Liverpool,Crystal Palace,Y,CB,90,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,,,Match Report
2025-11-18,Tue,Friendlies (M),Friendlies (M),Home,W 3–0,jp Japan,bo Bolivia,Y*,DM,90,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
2025-12-06,Sat,Premier League,Matchweek 15,Away,D 3–3,Liverpool,Leeds United,N,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-24,Sat,Premier League,Matchweek 23,Away,L 2–3,Liverpool,Bournemouth,N,,56,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,Match Report
2026-01-28,Wed,Champions Lg,League phase,Home,W 6–0,eng Liverpool,az Qarabağ,N,,87,0,0,0,0,1,1,0,0,2,0,0,2,2,1,0,,,Match Report
2026-01-31,Sat,Premier League,Matchweek 24,Home,W 4–1,Liverpool,Newcastle,N,,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Match Report
2026-02-11,Wed,Premier League,Matchweek 26,Away,W 1–0,Liverpool,Sunderland,Y,RB,68,0,0,0,0,1,0,0,0,1,1,0,2,2,0,0,,,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-31,Sun,Friendlies (M),Friendlies (M),Home,W 1–0,jp Japan,is Iceland,Y,DM,45,0,0,0,0,,,0,0,,,,,,,0,,,Match Report
,,,,,9-3-3,,,6/15,,687,0,1,0,0,2,1,1,0,7,10,0,5,9,4,0,,,
